KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)
241 | Zé Roberto | Brazil | 84 cap | 15M
242 | Jürgen Kohler | Germany | 105 cap | 0M
243 | Michael Owen | England | 89 cap | 30M
244 | Milan Baros | Czech Republic | 94 cap | 18M
245 | Dimitar Berbatov | Bulgaria | 79 cap | 35M
246 | Giovani dos Santos | Mexico | 107 cap | 12M
247 | Diego Simeone | Argentina | 105 cap | 3M
248 | Stefan Savic | Montenegro | 78 cap | 40M
249 | Haris Seferovic | Switzerland | 93 cap | 18M
250 | Khvicha Kvaratskhelia | Georgia | 49 cap | 90M
251 | Mario Yepes | Colombia | 101 cap | 10M
252 | Dele Alli | England | 37 cap | 100M
253 | Gökhan Inler | Switzerland | 89 cap | 18M
254 | Ricardo Quaresma | Portugal | 79 cap | 25M
255 | Kingsley Coman | France | 61 cap | 65M
256 | Tugay Kerimoğlu | Türkiye | 94 cap | 3M
257 | Andreas Christensen | Denmark | 80 cap | 40M
258 | Laurent Blanc | France | 97 cap | 0M
259 | Marco Asensio | Spain | 38 cap | 90M
260 | Matthijs de Ligt | Netherlands | 52 cap | 75M
261 | Rafael Leão | Portugal | 43 cap | 90M
262 | Robert Pirès | France | 79 cap | 22M
263 | Aleksandar Kolarov | Serbia | 93 cap | 17M
264 | Kasey Keller | United States | 102 cap | 4M
265 | Rodrigo Bentancur | Uruguay | 73 cap | 50M
266 | Filip Kostić | Serbia | 72 cap | 40M
267 | Nicolas Pépé | Cote d'Ivoire | 52 cap | 75M
268 | Michael Laudrup | Denmark | 103 cap | 0M
269 | John Obi Mikel | Nigeria | 88 cap | 23M
270 | Didier Deschamps | France | 103 cap | 0M
271 | Salomon Kalou | Cote d'Ivoire | 88 cap | 15M
272 | Thomas Meunier | Belgium | 78 cap | 35M
273 | Stanislav Lobotka | Slovakia | 73 cap | 40M
